x1,y1,x2,y2
497813.7160166043,5007730.768486857,499756.28950146236,5014106.387538873
499756.28950146236,5014106.387538873,499733.92073444935,5020993.691581562
499733.92073444935,5020993.691581562,500463.0766360173,5027765.919425436
500463.0766360173,5027765.919425436,500321.3250369593,5034514.463496652
500321.3250369593,5034514.463496652,500699.89903279184,5041389.541932162
500699.89903279184,5041389.541932162,500450.46185382205,5048275.33383605
500450.46185382205,5048275.33383605,500612.49565120775,5055153.427298174
500612.49565120775,5055153.427298174,500614.5420923401,5062032.314187873
500614.5420923401,5062032.314187873,500776.70186913636,5068931.260324284
500776.70186913636,5068931.260324284,501445.4838843507,5075730.512407881
501445.4838843507,5075730.512407881,502585.7838139901,5082500.185491751
502585.7838139901,5082500.185491751,503062.9096114624,5089368.388683889
503062.9096114624,5089368.388683889,505432.31878384535,5095723.005241581
505432.31878384535,5095723.005241581,507548.8156035698,5102209.204171495
507548.8156035698,5102209.204171495,508683.6892886074,5108934.305149858
508683.6892886074,5108934.305149858,511480.7477830064,5115024.934492066
511480.7477830064,5115024.934492066,513478.071758905,5121532.693228724
513478.071758905,5121532.693228724,513372.76915093954,5128327.491951144
513372.76915093954,5128327.491951144,515615.70097486395,5134720.058626908
515615.70097486395,5134720.058626908,518871.3847757495,5140722.189935557
518871.3847757495,5140722.189935557,521901.9752179817,5146882.445860748
521901.9752179817,5146882.445860748,526604.106516253,5151827.344208362
526604.106516253,5151827.344208362,531268.3554975034,5156847.698366814
531268.3554975034,5156847.698366814,534634.1619005798,5162651.038960553
534634.1619005798,5162651.038960553,539443.4172589885,5167243.554247653
539443.4172589885,5167243.554247653,543903.6251655963,5171929.586630273
543903.6251655963,5171929.586630273,550768.3283775738,5171756.06499763
550768.3283775738,5171756.06499763,557250.8385913112,5173870.746391605
557250.8385913112,5173870.746391605,563285.9047198829,5176139.103207246
563285.9047198829,5176139.103207246,565303.3616641106,5175966.415803504
565303.3616641106,5175966.415803504,562696.1325291175,5169567.724777267
562696.1325291175,5169567.724777267,560088.9033941244,5163169.03375103
560088.9033941244,5163169.03375103,557481.6742591312,5156770.342724794
557481.6742591312,5156770.342724794,554874.4451241381,5150371.651698557
554874.4451241381,5150371.651698557,552267.215989145,5143972.96067232
552267.215989145,5143972.96067232,549659.9868541518,5137574.269646083
549659.9868541518,5137574.269646083,547052.7577191588,5131175.578619846
547052.7577191588,5131175.578619846,544445.5285841656,5124776.887593609
544445.5285841656,5124776.887593609,541838.2994491725,5118378.196567372
541838.2994491725,5118378.196567372,539231.0703141794,5111979.505541136
539231.0703141794,5111979.505541136,536623.8411791862,5105580.814514899
536623.8411791862,5105580.814514899,534016.6120441931,5099182.123488662
534016.6120441931,5099182.123488662,531409.3829091999,5092783.432462425
531409.3829091999,5092783.432462425,528802.1537742069,5086384.741436188
528802.1537742069,5086384.741436188,526194.9246392137,5079986.050409951
526194.9246392137,5079986.050409951,523587.6955042206,5073587.359383714
523587.6955042206,5073587.359383714,520980.4663692275,5067188.6683574775
520980.4663692275,5067188.6683574775,518373.23723423434,5060789.977331241
518373.23723423434,5060789.977331241,515766.00809924124,5054391.286305004
515766.00809924124,5054391.286305004,513158.77896424814,5047992.595278767
513158.77896424814,5047992.595278767,510551.549829255,5041593.90425253
510551.549829255,5041593.90425253,507944.32069426187,5035195.213226293
507944.32069426187,5035195.213226293,505337.09155926877,5028796.522200056
505337.09155926877,5028796.522200056,502729.8624242756,5022397.8311738195
502729.8624242756,5022397.8311738195,500122.6332892825,5015999.140147583
500122.6332892825,5015999.140147583,497768.94883132976,5009700.839924115
497768.94883132976,5009700.839924115,499533.0429650292,5012161.252998764
499533.0429650292,5012161.252998764,502118.0117025378,5018568.969225136
502118.0117025378,5018568.969225136,504702.98044004646,5024976.685451507
504702.98044004646,5024976.685451507,507287.9491775551,5031384.401677879
507287.9491775551,5031384.401677879,509872.9179150637,5037792.11790425
509872.9179150637,5037792.11790425,512457.8866525723,5044199.8341306215
512457.8866525723,5044199.8341306215,515042.85539008095,5050607.5503569925
515042.85539008095,5050607.5503569925,517627.8241275896,5057015.266583364
517627.8241275896,5057015.266583364,520212.79286509816,5063422.982809735
520212.79286509816,5063422.982809735,522797.7616026068,5069830.699036107
522797.7616026068,5069830.699036107,525382.7303401154,5076238.415262479
525382.7303401154,5076238.415262479,527967.699077624,5082646.13148885
527967.699077624,5082646.13148885,530552.6678151326,5089053.847715222
530552.6678151326,5089053.847715222,533137.6365526413,5095461.563941593
533137.6365526413,5095461.563941593,535722.6052901499,5101869.280167965
535722.6052901499,5101869.280167965,538307.5740276586,5108276.996394336
538307.5740276586,5108276.996394336,540892.5427651672,5114684.712620708
540892.5427651672,5114684.712620708,543477.5115026757,5121092.428847079
