x1,y1,x2,y2
633208.9900826548,4846847.547477947,632958.0102679019,4846344.588970081
632958.0102679019,4846344.588970081,631149.7922368514,4845878.907579494
631149.7922368514,4845878.907579494,630241.4312449283,4844089.043222138
630241.4312449283,4844089.043222138,627778.8183503153,4842666.496433327
627778.8183503153,4842666.496433327,626876.4541250081,4842579.064549146
626876.4541250081,4842579.064549146,625853.8866364931,4841831.864889875
625853.8866364931,4841831.864889875,625281.559662069,4841790.880546702
625281.559662069,4841790.880546702,624048.2447883689,4840281.96854865
624048.2447883689,4840281.96854865,623835.6198494409,4839290.77085477
623835.6198494409,4839290.77085477,621615.5489645626,4836804.010505717
621615.5489645626,4836804.010505717,621634.3491010811,4833973.196966553
621634.3491010811,4833973.196966553,620659.5836040162,4832665.695902985
620659.5836040162,4832665.695902985,620547.0399488928,4829184.182476034
620547.0399488928,4829184.182476034,620123.3237863281,4828723.941636365
633208.9900826548,4846847.547477947,633196.4794962113,4846899.774543934
633208.9900826548,4846847.547477947,633145.5780403616,4846820.403168176
636289.9660653498,4852573.911924551,636375.9932062243,4853847.474249864
636289.9660653498,4852573.911924551,636726.4806684532,4850605.611812252
636726.4806684532,4850605.611812252,636503.6652717018,4850125.244795081
624072.1065375909,4817567.815700719,624005.5058854029,4818220.243937756
624005.5058854029,4818220.243937756,622628.5905313365,4819574.938891142
622628.5905313365,4819574.938891142,621655.3579345908,4821379.026321815
621655.3579345908,4821379.026321815,620300.440719604,4822853.32292539
620300.440719604,4822853.32292539,620032.4967351011,4824150.024904678
620032.4967351011,4824150.024904678,620123.3237863281,4828723.941636365
636503.6652717018,4850125.244795081,634045.6729148352,4849178.927321969
634045.6729148352,4849178.927321969,633196.4794962113,4846899.774543934
636503.6652717018,4850125.244795081,636726.4806684532,4850605.611812252
636726.4806684532,4850605.611812252,636289.9660653498,4852573.911924551
631264.9275823295,4863732.64541587,631490.8546918874,4863462.098484808
631264.9275823295,4863732.64541587,631520.0425664609,4863517.688661149
631490.8546918874,4863462.098484808,631736.2006800327,4863201.588818998
631520.0425664609,4863517.688661149,631736.2006800327,4863201.588818998
631579.9808658557,4863473.944195871,630729.2565981954,4864285.507130869
630729.2565981954,4864285.507130869,628676.0826863073,4864792.8539656205
628676.0826863073,4864792.8539656205,627086.189385724,4865746.172098167
627086.189385724,4865746.172098167,625584.8733997092,4865135.5987598365
633196.4794962113,4846899.774543934,633208.9900826548,4846847.547477947
633196.4794962113,4846899.774543934,634045.6729148352,4849178.927321969
634045.6729148352,4849178.927321969,636503.6652717018,4850125.244795081
633196.4794962113,4846899.774543934,633145.5780403616,4846820.403168176
615683.0162099901,4862905.317916466,616405.7062741909,4863034.530867122
615683.0162099901,4862905.317916466,616027.2175924992,4862930.806740284
615769.6501415122,4862937.049162924,613068.6964157507,4863345.204985629
616405.7062741909,4863034.530867122,618868.1408709687,4863148.560333608
618868.1408709687,4863148.560333608,621797.0133000539,4864715.013882058
621797.0133000539,4864715.013882058,624615.6555178507,4864387.630066187
624615.6555178507,4864387.630066187,625093.4914095906,4864566.835160938
616453.9043938466,4863070.751822898,615769.6501415122,4862937.049162924
616453.9043938466,4863070.751822898,616145.0182109192,4863033.382227417
636512.0528930945,4854444.154842466,636478.49616197,4854213.594856086
636512.0528930945,4854444.154842466,636494.5979188479,4854265.83744237
636477.5334102446,4853919.069394168,636435.7560489766,4854029.014384317
636477.5334102446,4853919.069394168,636406.5437938655,4853940.546881011
636494.5979188479,4854265.83744237,636504.0698705681,4854236.631268112
636494.5979188479,4854265.83744237,636478.49616197,4854213.594856086
636385.2748451971,4853930.332756846,636401.5446410843,4853925.032958023
636385.2748451971,4853930.332756846,636279.9546267018,4853440.087655792
636279.9546267018,4853440.087655792,636289.9660653498,4852573.911924551
636375.9932062243,4853847.474249864,636445.2012877921,4853911.705915083
636375.9932062243,4853847.474249864,636401.5446410843,4853925.032958023
636570.4085529273,4854204.125867959,636531.157588118,4854230.187166538
636262.8207864186,4853470.237182847,636279.9546267018,4853440.087655792
636406.5437938655,4853940.546881011,636390.1953543177,4853946.545066645
636406.5437938655,4853940.546881011,636435.7560489766,4854029.014384317
636401.5446410843,4853925.032958023,636406.5437938655,4853940.546881011
636401.5446410843,4853925.032958023,636445.2012877921,4853911.705915083
636531.157588118,4854230.187166538,636570.4085529273,4854204.125867959
636531.157588118,4854230.187166538,636511.1465352285,4854264.554853117
636390.1953543177,4853946.545066645,636385.2748451971,4853930.332756846
636504.0698705681,4854236.631268112,636531.157588118,4854230.187166538
636504.0698705681,4854236.631268112,636511.1465352285,4854264.554853117
636478.49616197,4854213.594856086,636390.1953543177,4853946.545066645
636435.7560489766,4854029.014384317,636504.0698705681,4854236.631268112
633145.5780403616,4846820.403168176,629508.8452296826,4846206.3650930645
629508.8452296826,4846206.3650930645,628527.0917866004,4846304.362063797
628527.0917866004,4846304.362063797,626996.7317551883,4847129.813352784
626996.7317551883,4847129.813352784,626546.2493967382,4846858.659463313
626546.2493967382,4846858.659463313,625096.2710291079,4846857.066490236
625096.2710291079,4846857.066490236,623029.1384738829,4847621.756209793
623029.1384738829,4847621.756209793,620395.1257306401,4847835.51549453
620395.1257306401,4847835.51549453,619468.2963488385,4847618.4089370575
619468.2963488385,4847618.4089370575,618529.6712662204,4846735.067997719
618529.6712662204,4846735.067997719,613897.4942946448,4846520.950927822
613897.4942946448,4846520.950927822,610652.0364000272,4847799.479627075
610652.0364000272,4847799.479627075,608989.1836364217,4846592.141460144
608989.1836364217,4846592.141460144,607412.6926665419,4846235.494673556
607412.6926665419,4846235.494673556,606026.8049189474,4846730.7461771425
606026.8049189474,4846730.7461771425,605055.5677946821,4848917.69574545
605055.5677946821,4848917.69574545,603316.6910296844,4848801.958670989
603316.6910296844,4848801.958670989,601308.0017682647,4850166.572201381
601308.0017682647,4850166.572201381,600318.6374787667,4850149.682143757
