x1,y1,x2,y2
631264.9275823295,4863732.64541587,631736.2006800327,4863201.588818998
631264.9275823295,4863732.64541587,631736.2006800327,4863201.588818998
630729.2565981954,4864285.507130869,627086.189385724,4865746.172098167
627086.189385724,4865746.172098167,625584.8733997092,4865135.5987598365
615683.0162099901,4862905.317916466,616405.7062741909,4863034.530867122
615683.0162099901,4862905.317916466,616027.2175924992,4862930.806740284
615769.6501415122,4862937.049162924,613068.6964157507,4863345.204985629
616405.7062741909,4863034.530867122,618868.1408709687,4863148.560333608
618868.1408709687,4863148.560333608,621797.0133000539,4864715.013882058
621797.0133000539,4864715.013882058,625093.4914095906,4864566.835160938
616453.9043938466,4863070.751822898,615769.6501415122,4862937.049162924
616453.9043938466,4863070.751822898,616145.0182109192,4863033.382227417
625093.4914095906,4864566.835160938,625560.5136161619,4865070.150223459
625093.4914095906,4864566.835160938,625560.5136161619,4865070.150223459
625584.8733997092,4865135.5987598365,625115.2351373074,4864623.599243585
625584.8733997092,4865135.5987598365,625115.2351373074,4864623.599243585
625115.2351373074,4864623.599243585,621831.3918612824,4864749.910573574
621831.3918612824,4864749.910573574,618816.9639303555,4863163.653195133
618816.9639303555,4863163.653195133,616453.9043938466,4863070.751822898
625560.5136161619,4865070.150223459,626937.1310182756,4865556.340982538
626937.1310182756,4865556.340982538,631264.9275823295,4863732.64541587
612233.5121038298,4863438.6832001405,613038.5145310205,4863314.115779412
612233.5121038298,4863438.6832001405,613038.5145310205,4863314.115779412
613068.6964157507,4863345.204985629,612244.5473416098,4863462.856321465
613068.6964157507,4863345.204985629,612244.5473416098,4863462.856321465
616144.0247480591,4862955.271566173,616405.7062741909,4863034.530867122
616039.2990661414,4863012.444372349,615769.6501415122,4862937.049162924
613038.5145310205,4863314.115779412,615683.0162099901,4862905.317916466
612244.5473416098,4863462.856321465,607868.656108724,4867769.511772426
607868.656108724,4867769.511772426,605885.3703492985,4867916.00072367
605029.6348694568,4867783.532727984,605886.1073227376,4867888.482802264
605029.6348694568,4867783.532727984,605886.1073227376,4867888.482802264
600617.6777715563,4866045.668438628,601533.6347709843,4866071.051308344
600617.6777715563,4866045.668438628,601533.6347709843,4866071.051308344
574593.6032886293,4866977.122895253,575403.3339651411,4867005.375726772
574593.6032886293,4866977.122895253,575403.3339651411,4867005.375726772
575403.3339651411,4867005.375726772,579595.1029974255,4865152.354945301
579595.1029974255,4865152.354945301,589353.6886954118,4865037.73127783
575438.0223984222,4867036.662597452,574417.2165623521,4866997.055084898
575438.0223984222,4867036.662597452,574417.2165623521,4866997.055084898
574417.2165623521,4866997.055084898,569552.1223083187,4867243.016560549
605027.762892329,4867814.0211027665,601633.8527022394,4866130.934373728
605885.3703492985,4867916.00072367,605027.762892329,4867814.0211027665
605885.3703492985,4867916.00072367,605027.762892329,4867814.0211027665
