x1,y1,x2,y2
488574.1762701077,4973936.189114983,488601.11026661,4973599.54024056
488601.11026661,4973599.54024056,488799.6456481905,4974640.565672182
488799.6456481905,4974640.565672182,489674.8846505983,4975385.357645295
489674.8846505983,4975385.357645295,490567.49663324404,4976106.666989827
490567.49663324404,4976106.666989827,490247.51272398914,4975331.962582431
490247.51272398914,4975331.962582431,489693.4071406433,4974325.123271987
489693.4071406433,4974325.123271987,489139.3015572974,4973318.283961543
489139.3015572974,4973318.283961543,488639.1791362681,4973098.520264661
488639.1791362681,4973098.520264661,488562.9003726371,4974244.846543966
488562.9003726371,4974244.846543966,488867.63585916103,4974328.880352403
488867.63585916103,4974328.880352403,489555.59172037913,4975249.464475428
489555.59172037913,4975249.464475428,488936.47059959674,4975047.382058252
488936.47059959674,4975047.382058252,488737.992495303,4973915.408190767
488737.992495303,4973915.408190767,488724.37667215074,4972794.134436739
488724.37667215074,4972794.134436739,488791.02019774384,4973741.320317662
488791.02019774384,4973741.320317662,488813.889856411,4974890.335275468
488813.889856411,4974890.335275468,489606.79921393533,4975357.260055096
489606.79921393533,4975357.260055096,488791.21371374174,4974635.520131185
488791.21371374174,4974635.520131185,489077.3765449016,4975031.888997058
489077.3765449016,4975031.888997058,490005.79522869136,4975709.234656335
490005.79522869136,4975709.234656335,490329.03004098404,4975965.392716718
490329.03004098404,4975965.392716718,489430.11743104144,4975263.616045139
489430.11743104144,4975263.616045139,488543.7799334147,4974632.117474432
488543.7799334147,4974632.117474432,488864.78555547737,4975236.855802041
488864.78555547737,4975236.855802041,489933.87644135905,4975570.102621058
489933.87644135905,4975570.102621058,490847.4720232877,4976257.908527013
490847.4720232877,4976257.908527013,491688.2580236514,4976954.663266154
491688.2580236514,4976954.663266154,490948.22595059365,4976075.395999962
490948.22595059365,4976075.395999962,490208.19387753593,4975196.128733771
490208.19387753593,4975196.128733771,489468.1618044782,4974316.861467579
489468.1618044782,4974316.861467579,488728.1297314205,4973437.594201388
488728.1297314205,4973437.594201388,488955.61493549566,4974138.9514273405
488955.61493549566,4974138.9514273405,489759.79302482243,4974959.960559565
489759.79302482243,4974959.960559565,490563.9711141492,4975780.96969179
490563.9711141492,4975780.96969179,491368.1492034759,4976601.978824015
491368.1492034759,4976601.978824015,492172.3272928027,4977422.98795624
492172.3272928027,4977422.98795624,491834.81917473633,4977140.984916595
491834.81917473633,4977140.984916595,492040.3150506819,4977292.043089057
492040.3150506819,4977292.043089057,492728.3025055336,4977914.415464463
492728.3025055336,4977914.415464463,491882.0397237817,4977136.856657187
491882.0397237817,4977136.856657187,492323.4598614959,4977598.461971201
492323.4598614959,4977598.461971201,492186.2471544744,4977468.566416345
492186.2471544744,4977468.566416345,492859.865425334,4978320.316126732
492859.865425334,4978320.316126732,492505.943242499,4977808.1718693
492505.943242499,4977808.1718693,491707.9244759238,4976990.8086277405
491707.9244759238,4976990.8086277405,490825.921654237,4976269.598813633
490825.921654237,4976269.598813633,491353.0251133503,4976768.544062051
491353.0251133503,4976768.544062051,492234.6723373897,4977505.739129108
492234.6723373897,4977505.739129108,491766.8222458186,4977217.87353103
491766.8222458186,4977217.87353103,490816.0857246432,4976572.227759842
490816.0857246432,4976572.227759842,489865.3492034678,4975926.581988653
489865.3492034678,4975926.581988653,488905.90027684596,4975297.6105824765
488905.90027684596,4975297.6105824765,488921.50111814606,4975087.1267236695
488921.50111814606,4975087.1267236695,489799.3499032464,4975828.840890345
489799.3499032464,4975828.840890345,490677.1986883467,4976570.555057022
490677.1986883467,4976570.555057022,491555.0474734471,4977312.2692236975
491555.0474734471,4977312.2692236975,492432.89625854744,4978053.983390373
492432.89625854744,4978053.983390373,492620.71623211866,4977828.365086341
492620.71623211866,4977828.365086341,492832.28479125706,4978635.568434455
492832.28479125706,4978635.568434455,492972.5694415746,4979211.054210655
492972.5694415746,4979211.054210655,493017.52209683077,4980356.227145274
493017.52209683077,4980356.227145274,492987.69315364474,4981504.967371534
492987.69315364474,4981504.967371534,492995.0925710401,4980449.971509746
492995.0925710401,4980449.971509746,492956.5761306119,4979301.683284704
492956.5761306119,4979301.683284704,492915.5686004214,4979171.74113431
492915.5686004214,4979171.74113431,492965.83212588466,4979382.20402656
492965.83212588466,4979382.20402656,493021.65003146266,4980528.790176679
493021.65003146266,4980528.790176679,492994.9566129447,4980093.985258668
492994.9566129447,4980093.985258668,492982.56985647004,4980508.881506913
492982.56985647004,4980508.881506913,492977.01320172654,4981230.379721142
492977.01320172654,4981230.379721142,492944.7061690947,4980082.244713757
492944.7061690947,4980082.244713757,492887.2396528554,4978934.43985488
492887.2396528554,4978934.43985488,492934.27208590735,4979132.026900614
492934.27208590735,4979132.026900614,492542.63768015616,4978051.572881795
483532.25488206925,4983595.75849844,482522.20321482397,4983055.610544232
482522.20321482397,4983055.610544232,481465.30684620625,4982604.247651923
481465.30684620625,4982604.247651923,481578.0256799051,4983218.376873819
481578.0256799051,4983218.376873819,481353.4413421,4982999.522409557
481353.4413421,4982999.522409557,481359.50356898207,4981960.971758548
481359.50356898207,4981960.971758548,481334.56212970626,4982115.615268038
